"年月","業者名稱","數據傳輸量（GBytes）","用戶數","平均每一用戶數據傳輸量（GBytes）"
"107/4","","369,730,574 ","24,023,514 ","15.39 "
"107/3","","349,955,423 ","23,543,897 ","14.86 "
"107/2","","322,145,817 ","23,203,785 ","13.88 "
"107/1","","337,503,007 ","22,897,423 ","14.74 "
"106/12","","327,562,110 ","22,588,039 ","14.50 "
"106/11","","316,854,474 ","22,236,148 ","14.25 "
"106/10","","317,198,665 ","21,921,357 ","14.47 "
"106/9","","304,964,865 ","21,693,435 ","14.06 "
"106/8","","308,189,405 ","21,393,250 ","14.41 "
"106/7","","299,257,997","20,967,913","14.27"
"106/6","","277,702,152","20,479,607","13.56"
"106/5","","273,277,383","19,927,099","13.71"
"106/4","","258,737,158","19,516,600","13.26"
"106/3","","242949294","19186535","12.66"
"106/2","","224,275,057 ","18,816,796 ","11.92"
"106/1","","222,131,586 ","18,464,965 ","12.03"
"105/12","","208579023","18067037","11.54"
"105/11","","194,905,238 ","17,635,033 ","11.05 "
"105/10","","192,618,175 ","17,197,866 ","11.20 "
"105/9","","180,119,376 ","16,725,622 ","10.77 "
"105/8","","174,299,101 ","16,230,232 ","10.74 "
"105/7","","169,829,463 ","15,676,268 ","10.83 "
"105/6","","153,874,670 ","15,196,789 ","10.13 "
"105/5","","148,952,363 ","14,640,609 ","10.17 "
"105/4","","135,942,178 ","14,038,929 ","9.68 "
"105/3","","128790213 ","13456349 ","9.57 "
"105/2","","118354947 ","12852033 ","9.21 "
"105/1","","116837327","12206443","9.57 "
"104/12","","106230513","11574394","9.18 "
"104/11","","96867720","10799493","8.97 "
"104/10","","92840848","10086993","9.20 "
"104/9","","85848488","9338141","9.19 "
"104/8","","82665921","8663921","9.54 "
"104/7","","72987925","7930423","9.20 "
"104/6","","63810567","7208050","8.85 "
"104/5","","59178510","6485911","9.12 "
"104/4","","51759449","5852935","8.84 "
"104/3","","44137630","5261698","8.39 "
"104/2","","37245978","4598777","8.10 "
"104/1","","33484494","4023940","8.32 "
"103/12","","26658813","3449307","7.73 "
"103/11","","18936612","2785716","6.80 "
"103/10","","12013803","2103521","5.71 "
"103/9","","6138344","1168738","5.25 "
"103/8","","4293183","643094","6.68 "
"103/7","","1316146","343687","3.83 "
"103/6","","45119","103905","0.43 "
"103/5","","22","3047","0.01 "
